query,positive_chunk,hard_negative,chunk_id,paper_id,split,query_type
What percentage of text segments is composed of Class 5?,"[Influence of social media and use of digital filters] Class 5, composed of 68 text segments (23.13%), showed the female gender and nursing course as associated variables, highlighting the influence of social media in the construction and maintenance of aesthetic standards considered unattainable. Participants discussed the use of digital image filters as a common practice, related to the attempt to meet beauty expectations disseminated on social media and to the impact of constant comparison with edited images, which can generate feelings of inadequacy and low self-esteem.“Many people use filters to slim their waists to make their bodies, buttocks, and breasts look bigger",The use of digital filters can increase self-esteem in individuals by allowing them to present a more polished version of themselves on social media.,12961802_00045,12961802,train,Factual
What type of detector was used in the HPLC separation?,"[HPLC–DAD-MS/MS analysis] Samples of medium obtained from both in vitro and ex vivo experiments were purified and concentrated using SFE cartridges with the same stationary phase as the column employed for subsequent analyses. HPLC separation was performed on an Agilent Technologies 1200 system, equipped with a diode-array detector (DAD) and a 6330 Series Ion Trap LC–MS system (Agilent Technologies, Santa Clara, CA, USA) coupled to an electrospray ionization (ESI) source. Samples were injected via an automated and temperature-controlled (4 °C) injection module (Agilent Technologies, Santa Clara, CA, USA) fitted with a 200 µL loop. A porphyrin standard mixture was used for HPLC peak identification",The HPLC system utilized a fluorescence detector to identify porphyrin compounds in the samples.,12960356_00131,12960356,train,Conversational
What is involved in ALA anti-angiogenic effects?,"[Extracellular porphyrins are involved in ALA anti-angiogenic effects] . FC, fold change; hrs, hours; ALA, 5-amminolevulinic acid; HX, hemopexin; HSA, human serum albumin; NT, not treated; CM, conditioned medium; hrs, hours; DIV, day in vitro","[Extracellular porphyrins are involved in ALA anti-angiogenic effects] . 5 μM, 100 μM) at various time points. n = 6. n–o Extracellular porphyrins and heme levels in HMEC treated with 5 mM ALA and/or 5 uM HSA for 72 h. Data on extracellular heme are normalized over the confluence cell area. p Proliferation experiments on HMEC treated with 5 mM ALA and/or 5uM HSA at various time points. n = 6. Data are expressed as mean ± SEM. For statistical analyses, ordinary two-way ANOVA test with Sidak’s multiple comparisons (g,h,m,p), ordinary one-way ANOVA test with Tukey’s multiple comparisons (i–l, n–o) and unpaired Student’s t-test were used (b, c, e, f). FC, fold change; hrs, hours; ALA, 5-amminolevulinic acid; HX, hemopexin; HSA, human serum albumin; NT, not treated; CM, conditioned medium; hrs, hours; DIV, day in vitro",12960356_00057,12960356,train,Keyword Search
What materials were used to achieve the experimental results discussed in Section 4?,"[Introduction] . Section 3 details the materials and methodology. Section 4 discusses the experimental results, and Section 5 presents the conclusions.","The experimental results in Section 4 were influenced by the conclusions presented in Section 5, which highlighted the importance of methodology in biomedical research.",12960951_00014,12960951,train,Multi-Hop
What is the effect of MCL-1 inhibition on tumor-infiltrating immune populations in MYC-associated B-cell lymphoma?,"[MCL-1i treatment reinvigorates the TME toward immunogenicity in syngeneic MYC-driven lymphoma in vivo] . 6Single-Cell RNA-seq reveals tumor-intrinsic and microenvironmental remodeling following MCL-1 inhibition in MYC-associated B-cell lymphoma.A scRNA-seq analysis of control (V1 and V2) and MCL-1i-treated tumors (M1 and M2) from Eμ-MYC B cell lymphoma murine model and UMAP projection colored by graph-based cell clusters (upper panel) and experimental groups (lower panel). V: vehicle control, M: S63845 treatment. B Enrichment analysis by Enrichr for top ten enriched pathways of DEGs in MCL-1i-treated tumors (upper) and the control-treated tumors (lower). C The average percentages of tumor-infiltrating immune populations identified in A are shown for each group based on scRNA-seq analysis.",MCL-1 inhibition promotes tumor growth by enhancing angiogenesis in B-cell lymphoma,12960227_00051,12960227,train,Factual
Does the protective effect of preserved IC on HRQoL vary by residential context?,"[Discussion] Our subgroup analyses revealed that the association between IC and HRQoL is significantly modified by residential context, aligning with the ecological theory of aging [42, 43]. We found that the protective effect of preserved IC on HRQoL was weaker in suburban areas and nursing homes compared to urban community settings. This disparity may be interpreted through the lens of environmental deprivation and resource availability. Urban environments typically offer better access to healthcare, age-friendly infrastructure, and community resources, allowing older adults to fully leverage their intrinsic capacity to maintain a high quality of life [42, 44]",The benefits of exercise on cardiovascular health are more pronounced in rural areas due to increased air quality and access to outdoor recreational spaces.,12960387_00041,12960387,train,Conversational
What shapes fatphobia in adolescents?,"[abstract] Adolescents in technical health training recognize fatphobia as both an individual and structural issue, shaped by social norms and amplified by social media. Although they express empathy toward people with larger bodies, many simultaneously reproduce weight-stigmatizing practices. Technical-vocational schools represent formative spaces where fatphobia is simultaneously reproduced and questioned, making them key environments for integrating educational interventions that promote body diversity, challenge weight-based prejudice, and support the development of more inclusive future health professionals.","[abstract] Intrinsic capacity impairment is associated with compromised HRQoL both directly and indirectly by exacerbating functional dependence. Preserving functional independence serves as a key pathway connecting intrinsic capacity to well-being. These findings highlight the imperative for integrated interventions that simultaneously bolster intrinsic capacity and support daily functional ability, tailored to diverse living environments to promote healthy aging.",12961802_00003,12961802,train,Keyword Search
How does MCL-1i treatment affect the responsiveness of lymphoma cells to CD19 CAR-T therapy in aggressive B-cell lymphoma?,"[Discussion] One of the key findings in our study is that MCL-1i treatment and CD19 CAR-T reciprocally overcome their acquired therapy resistance in aggressive B-cell lymphoma. First, this study demonstrated that drug-resistant lymphoma cells activate STAT1-Type I IFN and inflammatory signaling pathways following MCL-1i treatment, and that the TME was reinvigorated towards an immunogenic, anti-tumor immunity in MYC lymphoma in vivo. In this manner, MCL-1i treatment primed lymphoma cells for response to CAR-T therapy. CD19 CAR-T therapy was also demonstrated to be highly effective against MCL-1i-treated and resistant lymphoma cells",MCL-1i treatment inhibits the activation of STAT3-Type II IFN signaling pathways in chronic myeloid leukemia cells,12960227_00067,12960227,train,Multi-Hop
What is the adjusted RD of sustained ROSC at the scene associated with dextrose administration?,"[Sustained ROSC at the scene] Association between dextrose administration and sustained ROSC at the scene, stratified by diabetes status: (a) adjusted RD and (b) RR, both with 95% CI.",Dextrose administration is commonly used to treat hypoglycemia in diabetic patients with cardiac arrest.,12960824_00035,12960824,train,Factual
Does dextrose administration increase the rate of sustained ROSC at the scene in diabetic patients?,"[Sustained ROSC at the scene] Overall, sustained ROSC at the scene occurred in 45.5% of the dextrose group vs. 44.0% of the nondextrose group. After IPTW adjustment, dextrose administration was not significantly associated with sustained ROSC at the scene (adjusted RR = 1.13, 95% CI: 0.80–1.59, p = 0.484). In subgroup analysis, diabetic patients who received dextrose had a higher rate of sustained ROSC at the scene (50.0% vs. 45.2%) with borderline significance (adjusted RD = 26.01, p = 0.047), whereas no difference was seen in nondiabetics (Table 4; Fig. 3a and b).",The administration of insulin is associated with a higher incidence of hypoglycemia in patients with diabetes.,12960824_00033,12960824,train,Conversational
What is the minimum sample size per group?,"[Sample size] . The simple size calculated using the formula was at least 104 for each group, totaling 208. To account for potential incomplete data, an additional 15% was added to the calculated sample size, resulting in a minimum sample size of 246 patients. Simple random sampling was performed.",The total number of patients required for the trial was estimated to be around 250 participants.,12960824_00024,12960824,train,Keyword Search
Does anterograde delivery of NS-PTEN promote corticospinal tract regeneration by reactivating PI3K/AKT/mTOR signaling in a contusion SCI model?,"[Antegrade Delivery of NS-PTEN Promotes Corticospinal Tract Regeneration via Transient PTEN Repression in a Contusion SCI Model] Having validated NS-PTEN’s in vitro efficacy in suppressing PTEN, reactivating PI3K/AKT/mTOR signaling, and promoting neurite growth, we next assessed its in vivo therapeutic potential. A key translational hurdle is delivering gene-editing agents to sensorimotor neurons critical for motor control and proprioception, many of which have long spinal projections that are vulnerable to injury. Their limited regenerative capacity makes them a key SCI therapeutic target. Thus, we tested NS-PTEN’s ability to achieve targeted delivery and enhance regeneration in a clinically relevant injury model, employing anterograde and retrograde delivery strategies",The application of NS-PTEN in a contusion SCI model enhances motor control through the activation of GABA receptors,12961949_00042,12961949,train,Multi-Hop
How many genes were in Cluster 6?,"[Identification of DEGs in GSE138966 and GSE167274] . For GSE167274, time-series analysis based on transcriptional dynamics stratified SCII samples into 16 clusters (Fig. 2S and Supplemental Document 3). Cluster membership ranged from 622 (Cluster 12) to 1,610 genes (Cluster 6), with red/purple lines indicating high membership and yellow/green lines indicating low membership.",The expression levels of genes in Cluster 12 were significantly higher than those in Cluster 6 due to transcriptional regulation.,12960846_00009,12960846,train,Factual
How will explainable AI techniques be used to improve model predictions in future research?,"[Future work] Future research will extend the proposed framework for more interpretability and multi-modal clinical integration. Explainable AI techniques (i.e., SHAP and LIME) will be used to quantify the contribution of each gene within the 236 gene signature to model predictions at the gene-signature level. Using SHAP, we will generate a global importance ranking of features across patient cohorts, and using LIME, we will create local explanations (i.e., personalized) for model predictions at the patient level, both of which will aid in clinical decision-making.Furthermore, future studies will implement a multimodal learning architecture that combines transcriptomic profiles with histopathological whole slide images",The integration of radiomic profiles with electronic health records will enhance patient outcomes through improved disease diagnosis and treatment monitoring.,12960951_00088,12960951,train,Conversational
What induces BPGM expression?,"[BPGM expression is induced by osmotic stress and associated with NFAT5 activity] While BPGM is well characterized in erythrocytes for its role in 2,3-bisphosphoglycerate production and oxygen release, its function in non-erythroid cells remains largely unknown. One strategy to uncover novel intracellular roles is to study conditions under which gene expression is dynamically regulated, based on the idea that functional relevance is often linked to gene expression control. In a recent study, we identified osmotic stress as a strong regulator of BPGM expression [14], prompting us to explore its role in cellular osmoadaptation.",BPGM expression is inhibited by hypoxic stress and associated with HIF1 activity,12960884_00037,12960884,train,Keyword Search
Can inter-individual variability in drug response lead to prolonged treatment and increased health burdens?,"[Introduction] . The inter-individual variability in drug response can implicate adverse drug reactions, paradoxically necessitating further prolonged treatment and imposing significant health and economic burdens [8].",The standardization of drug dosages has eliminated the need for personalized treatment plans in clinical settings.,12960364_00008,12960364,train,Multi-Hop
What is the number of HER2-positive breast cancer biopsies analyzed in the research?,"[Genomic and transcriptomic-based models] In20, The research analyzed 86 HER2-positive breast cancer biopsies using RNA-seq to identify recall markers for neoadjuvant therapy. DUSP4 was identified as a crucial protein that enhances therapy recall by inhibiting the ROS pathway. Its high expression is an independent predictor of positive outcomes for both Disease-Free Survival (DFS) and Overall Survival (OS). Additionally, functional analyses revealed that DUSP4 suppresses G6PD function, underscoring its role as a significant prognostic indicator of therapeutic recall in HER2 breast cancer subtypes.",The expression of DUSP4 is correlated with the inhibition of the PI3K pathway in breast cancer cells.,12960951_00029,12960951,train,Factual
What statistical test was used to distinguish true causality from linkage disequilibrium or horizontal pleiotropy in the Mendelian randomization analysis?,"[Summary-data-based MR analysis] Our analytic framework was rigorously designed to satisfy the three core assumptions of Mendelian randomization: relevance, independence, and exclusion restriction. The relevance assumption was ensured by selecting top cis-QTLs with genome-wide significance (P < 5.0 × 10− 8) as instrumental variables, guaranteeing a strong association with the exposure. To address the independence and exclusion restriction assumptions, we applied the HEIDI test to distinguish true causality from linkage disequilibrium (LD) or horizontal pleiotropy. A P-HEIDI > 0.05 was strictly used as the criterion to filter out pleiotropic signals, thereby supporting the inference that the genetic instruments affect atherosclerosis risk solely through the target molecular traits.",The researchers utilized a novel machine learning algorithm to identify potential confounding variables in the association between genetic instruments and atherosclerosis risk.,12961815_00025,12961815,train,Conversational
What is the total radiant efficiency of NS-PTEN at 48 hours postinjection?,"[Acute-Phase Neuronal PTEN Downregulation via NS-PTEN’s Nuclear-Targeted Delivery Post-SCI] Over a 7 day postinjection period, the fluorescence signal revealed a dynamic pattern of NS-PTEN accumulation and clearance at the injury site. (Figure S15A). Specifically, the in vivo biodistribution of NS-PTEN was monitored using the DaVinci imaging system to assess its localization and retention in the spinal cord regeneration experiment. At 24 h, an initial increase in fluorescence indicated early NS-PTEN localization, peaking at 48 h with a total radiant efficiency of approximately 2 × 1014 p/s/cm2/sr, signifying maximal retention at the injury site (Figure S15C). Over the subsequent days, the signal progressively declined, with a marked reduction by 72 h and further attenuation at 5 and 7 days, consistent with the expected NS-PTEN clearance dynamics","[Acute-Phase Neuronal PTEN Downregulation via NS-PTEN’s Nuclear-Targeted Delivery Post-SCI] . Across the 7 day postinjection period, the fluorescence signal demonstrated a dynamic pattern of NS-PTEN accumulation and clearance at the injury site.",12961949_00061,12961949,train,Keyword Search
